Type,Stanford Dogs,Caltech Birds,MIT Indoor,Oxford Pets,STL-10,Mean
Linear,0.43,0.86,1.5,0.87,0.39,0.81
Linear - L1,1.01,0.9,3.45,2.12,3.32,2.16
Linear - L2,1.02,2.8,4.66,1.28,3.74,2.7
Linear - L1_L2,2.63,0.32,5.43,4.23,2.54,3.03
TAS - Linear,0.33,0.66,0.95,0.8,0.48,0.64
TAS - L1,0.78,4.18,3.69,3.76,1.32,2.75
TAS - L2,1.18,2.22,2.79,1.02,0.94,1.63
TAS - L1_L2,2.15,4.61,3.75,4.27,1.79,3.31
