Type,Stanford Dogs,Caltech Birds,MIT Indoor,Oxford Pets,STL-10,Mean
Linear,76.88,62.0,66.91,87.49,92.45,77.15
Linear - L1,64.26,31.94,40.25,69.69,83.21,57.87
Linear - L2,70.3,49.52,52.4,82.56,89.77,68.91
Linear - L1_L2,59.1,27.77,37.91,69.41,79.64,54.77
TAS - Linear,76.81,61.64,67.05,88.5,92.79,77.36
TAS - L1,66.83,34.89,44.59,76.14,83.74,61.24
TAS - L2,70.49,52.32,54.82,84.61,89.85,70.42
TAS - L1_L2,64.0,33.35,41.17,72.13,83.49,58.83
