Type,Stanford Dogs,Caltech Birds,MIT Indoor,Oxford Pets,STL-10,Mean
Linear,0.57,1.87,1.22,2.29,1.84,1.56
Linear - L1,0.0,0.03,1.08,1.27,2.09,0.89
Linear - L2,2.02,1.74,4.43,2.94,2.95,2.82
Linear - L1_L2,0.03,0.0,0.89,1.83,3.72,1.29
TAS - Linear,1.21,1.85,2.03,0.73,1.14,1.39
TAS - L1,0.0,0.05,1.04,1.76,1.64,0.9
TAS - L2,2.06,1.49,3.18,3.99,1.39,2.42
TAS - L1_L2,0.0,0.02,0.06,1.22,2.3,0.72
