Type,Stanford Dogs,Caltech Birds,MIT Indoor,Oxford Pets,STL-10,Mean
Linear,0.78,0.76,2.21,1.55,0.74,1.21
Linear - L1,2.09,3.29,4.39,6.63,3.04,3.89
Linear - L2,1.63,2.97,3.89,1.53,1.29,2.26
Linear - L1_L2,5.24,2.22,3.76,2.72,6.34,4.06
TAS - Linear,0.66,1.25,1.8,0.6,0.57,0.98
TAS - L1,2.53,2.0,3.35,3.45,1.47,2.56
TAS - L2,2.63,1.72,3.3,0.99,1.85,2.1
TAS - L1_L2,1.84,2.63,5.26,2.45,3.03,3.04
