Type,Stanford Dogs,Caltech Birds,MIT Indoor,Oxford Pets,STL-10,Mean
Linear,0.76,1.42,2.85,0.95,0.79,1.35
Linear - L1,2.07,1.93,3.58,5.92,6.87,4.07
Linear - L2,2.06,2.05,2.73,2.89,1.69,2.28
Linear - L1_L2,2.46,3.5,3.54,4.13,3.97,3.52
TAS - Linear,0.37,0.8,1.61,0.72,0.29,0.76
TAS - L1,0.91,2.75,3.06,4.38,2.46,2.71
TAS - L2,1.28,1.84,2.75,1.56,2.19,1.92
TAS - L1_L2,2.24,2.72,4.33,2.71,3.16,3.03
