Type,Stanford Dogs,Caltech Birds,MIT Indoor,Oxford Pets,STL-10,Mean
Linear,76.89,52.01,63.86,87.83,93.68,74.85
L1,66.64,1.39,34.54,75.75,86.91,53.05
L2,71.79,37.23,49.86,82.52,89.01,66.08
L1_L2,64.33,1.19,32.12,70.54,86.08,50.85
TAS - Linear,77.03,52.27,65.35,88.22,93.78,75.33
TAS - L1,68.66,6.17,38.74,75.18,88.04,55.36
TAS - L2,71.33,37.93,53.11,83.27,91.13,67.35
TAS - L1_L2,67.94,4.64,38.03,74.28,87.33,54.44
