Type,Stanford Dogs,Caltech Birds,MIT Indoor,Oxford Pets,STL-10,Mean
Linear,76.33,48.36,55.18,86.26,92.49,71.72
Linear - L1,68.16,12.49,28.68,66.73,79.93,51.2
Linear - L2,71.58,36.32,47.54,79.52,90.57,65.11
Linear - L1_L2,67.7,10.76,27.81,69.02,85.26,52.11
TAS - Linear,77.49,51.09,57.96,86.9,92.78,73.24
TAS - L1,72.49,17.02,35.54,71.55,86.38,56.6
TAS - L2,72.87,39.07,49.38,82.37,90.49,66.84
TAS - L1_L2,69.92,14.22,32.75,71.65,85.67,54.84
