Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
resnet50,people,dense,Baseline,None,30,10,21.24,2.51,19.6,28.4,16.55,0.0
resnet50,people,dense,tafe,0.0,30,10,21.48,2.62,19.8,28.0,11.81,65.14
resnet50,people,dense,tafe,1e-45,30,10,24.28,0.29,23.8,24.8,6.8,94.48
resnet50,people,dense,tafe,1e-25,30,10,22.26,1.08,20.0,23.2,6.08,95.36
resnet50,people,dense,tafe,1e-15,30,10,21.22,0.93,20.0,23.2,6.32,96.0
resnet50,people,dense,tafe,1e-05,30,10,20.86,0.55,20.0,21.8,5.62,97.66
