Dataset,Architecture,Alpha,Deletion Rate,TAFS,Random
dog,inceptionv3,0.0,0.0,78.28,78.33
dog,inceptionv3,1e-15,20.9,78.61,2.73
dog,inceptionv3,1e-45,4.2,78.5,1.45
dog,inceptionv3,1e-05,68.55,79.62,0.86
dog,inceptionv3,1e-25,12.11,78.62,2.56
