Dataset,Architecture,Alpha,Deletion Rate,TAFS,Random
bird,densenet201,1e-05,75.47,56.43,0.41
bird,densenet201,1e-45,17.81,65.47,0.66
bird,densenet201,1e-15,47.5,63.29,0.36
bird,densenet201,0.0,0.0,65.73,0.49
bird,densenet201,1e-25,34.06,63.96,0.49
